Country,EPSI,Date,ECPI,CCPI,GSCPI
Ireland,0.0,1990-01-31,,,
Ireland,0.5,1990-01-31,,,
Finland,0.0,1990-01-31,,,
Finland,0.0,1990-01-31,,,
Finland,0.0,1990-01-31,,,
Finland,1.0,1990-01-31,,,
Finland,1.0,1990-01-31,,,
Finland,5.0,1990-01-31,,,
Finland,1.5833334,1990-01-31,,,
Finland,3.0,1990-01-31,,,
Finland,0.0,1990-01-31,,,
Finland,2.25,1990-01-31,,,
Finland,0.0,1990-01-31,,,
Finland,0.0,1990-01-31,,,
Finland,1.0,1990-01-31,,,
Finland,3.0,1990-01-31,,,
Finland,5.0,1990-01-31,,,
Finland,0.0,1990-01-31,,,
Finland,1.5,1990-01-31,,,
Canada,0.5,1990-01-31,,,
Canada,3.0,1990-01-31,,,
Canada,3.0,1990-01-31,,,
Canada,0.0,1990-01-31,,,
Canada,0.0,1990-01-31,,,
Canada,0.0,1990-01-31,,,
Canada,0.0,1990-01-31,,,
Canada,0.0,1990-01-31,,,
Canada,0.66666669,1990-01-31,,,
Canada,0.0,1990-01-31,,,
Canada,0.0,1990-01-31,,,
Canada,0.0,1990-01-31,,,
Canada,0.0,1990-01-31,,,
Canada,0.0,1990-01-31,,,
Canada,0.0,1990-01-31,,,
Canada,0.0,1990-01-31,,,
Canada,1.5,1990-01-31,,,
Hungary,1.0,1990-01-31,,,
Hungary,0.0,1990-01-31,,,
Hungary,0.16666667,1990-01-31,,,
Hungary,0.0,1990-01-31,,,
Hungary,0.0,1990-01-31,,,
Hungary,0.0,1990-01-31,,,
Hungary,1.0,1990-01-31,,,
Hungary,0.0,1990-01-31,,,
Hungary,0.0,1990-01-31,,,
Hungary,0.25,1990-01-31,,,
Hungary,0.1388889,1990-01-31,,,
Hungary,0.0,1990-01-31,,,
Hungary,0.0,1990-01-31,,,
Hungary,0.0,1990-01-31,,,
Hungary,0.0,1990-01-31,,,
Hungary,0.0,1990-01-31,,,
Hungary,0.0,1990-01-31,,,
Australia,0.0,1990-01-31,,,
Australia,0.0,1990-01-31,,,
Australia,0.0,1990-01-31,,,
Australia,0.0,1990-01-31,,,
Australia,0.0,1990-01-31,,,
Australia,0.0,1990-01-31,,,
Australia,1.0,1990-01-31,,,
Australia,0.0,1990-01-31,,,
Australia,0.0,1990-01-31,,,
Australia,0.0,1990-01-31,,,
Australia,0.0,1990-01-31,,,
Australia,0.0,1990-01-31,,,
Australia,0.16666667,1990-01-31,,,
Australia,0.0,1990-01-31,,,
Australia,0.0,1990-01-31,,,
Australia,0.0,1990-01-31,,,
Australia,0.5,1990-01-31,,,
Germany,1.0,1990-01-31,,,
Germany,0.0,1990-01-31,,,
Germany,0.0,1990-01-31,,,
Germany,1.4444444,1990-01-31,,,
Germany,0.0,1990-01-31,,,
Germany,5.0,1990-01-31,,,
Germany,0.0,1990-01-31,,,
Germany,0.0,1990-01-31,,,
Germany,1.0,1990-01-31,,,
Germany,5.0,1990-01-31,,,
Germany,0.0,1990-01-31,,,
Germany,2.5,1990-01-31,,,
Germany,2.0,1990-01-31,,,
Germany,0.83333331,1990-01-31,,,
Germany,3.0,1990-01-31,,,
Germany,0.0,1990-01-31,,,
Germany,1.0,1990-01-31,,,
Norway,0.0,1990-01-31,,,
Norway,0.0,1990-01-31,,,
Norway,0.0,1990-01-31,,,
Norway,0.0,1990-01-31,,,
Norway,0.0,1990-01-31,,,
Norway,0.0,1990-01-31,,,
Norway,0.47222221,1990-01-31,,,
Norway,1.0,1990-01-31,,,
Norway,0.0,1990-01-31,,,
Norway,0.0,1990-01-31,,,
Norway,0.16666667,1990-01-31,,,
Norway,2.0,1990-01-31,,,
Norway,0.25,1990-01-31,,,
Norway,1.0,1990-01-31,,,
Norway,0.0,1990-01-31,,,
Norway,0.0,1990-01-31,,,
Norway,1.0,1990-01-31,,,
Slovak Republic,0.0,1990-01-31,,,
Slovak Republic,0.0,1990-01-31,,,
Slovak Republic,0.0,1990-01-31,,,
Slovak Republic,1.0,1990-01-31,,,
Slovak Republic,0.0,1990-01-31,,,
Slovak Republic,0.0,1990-01-31,,,
Slovak Republic,0.0,1990-01-31,,,
Slovak Republic,0.3611111,1990-01-31,,,
Slovak Republic,0.0,1990-01-31,,,
Slovak Republic,0.0,1990-01-31,,,
Slovak Republic,0.83333331,1990-01-31,,,
Slovak Republic,0.25,1990-01-31,,,
Slovak Republic,0.0,1990-01-31,,,
Slovak Republic,5.0,1990-01-31,,,
Slovak Republic,0.0,1990-01-31,,,
Slovak Republic,0.0,1990-01-31,,,
Slovak Republic,0.0,1990-01-31,,,
Korea,0.0,1990-01-31,,,
Korea,0.0,1990-01-31,,,
Korea,0.0,1990-01-31,,,
Korea,0.0,1990-01-31,,,
Korea,0.0,1990-01-31,,,
Korea,1.0,1990-01-31,,,
Korea,0.083333336,1990-01-31,,,
Korea,0.0,1990-01-31,,,
Korea,0.0,1990-01-31,,,
Korea,0.0,1990-01-31,,,
Korea,0.0,1990-01-31,,,
Korea,0.0,1990-01-31,,,
Korea,0.0,1990-01-31,,,
Korea,0.0,1990-01-31,,,
Korea,0.25,1990-01-31,,,
Korea,0.0,1990-01-31,,,
Korea,0.0,1990-01-31,,,
Austria,1.0,1990-01-31,,,
Austria,0.0,1990-01-31,,,
Austria,0.0,1990-01-31,,,
Austria,5.0,1990-01-31,,,
Austria,0.0,1990-01-31,,,
Austria,0.0,1990-01-31,,,
Austria,1.0,1990-01-31,,,
Austria,0.0,1990-01-31,,,
Austria,1.3888888,1990-01-31,,,
Austria,0.0,1990-01-31,,,
Austria,0.66666669,1990-01-31,,,
Austria,5.0,1990-01-31,,,
Austria,4.0,1990-01-31,,,
Austria,3.0,1990-01-31,,,
Austria,1.0,1990-01-31,,,
Austria,0.0,1990-01-31,,,
Austria,0.5,1990-01-31,,,
Türkiye,0.0,1990-01-31,,,
Türkiye,0.0,1990-01-31,,,
Türkiye,0.0,1990-01-31,,,
Türkiye,0.0,1990-01-31,,,
Türkiye,0.44444445,1990-01-31,,,
Türkiye,0.0,1990-01-31,,,
Türkiye,0.0,1990-01-31,,,
Türkiye,0.0,1990-01-31,,,
Türkiye,0.0,1990-01-31,,,
Türkiye,5.0,1990-01-31,,,
Türkiye,0.0,1990-01-31,,,
Türkiye,0.0,1990-01-31,,,
Türkiye,1.0,1990-01-31,,,
Türkiye,0.83333331,1990-01-31,,,
Türkiye,0.0,1990-01-31,,,
Türkiye,0.0,1990-01-31,,,
Türkiye,0.5,1990-01-31,,,
Slovenia,0.0,1990-01-31,,,
Slovenia,0.0,1990-01-31,,,
Slovenia,0.0,1990-01-31,,,
Slovenia,0.0,1990-01-31,,,
Slovenia,0.0,1990-01-31,,,
Slovenia,0.0,1990-01-31,,,
Slovenia,0.0,1990-01-31,,,
Slovenia,0.0,1990-01-31,,,
Slovenia,0.0,1990-01-31,,,
Slovenia,0.0,1990-01-31,,,
Slovenia,0.0,1990-01-31,,,
Slovenia,0.0,1990-01-31,,,
Slovenia,0.0,1990-01-31,,,
Slovenia,0.0,1990-01-31,,,
Slovenia,0.0,1990-01-31,,,
Slovenia,0.0,1990-01-31,,,
Slovenia,0.0,1990-01-31,,,
South Africa,0.25,1990-01-31,,,
South Africa,0.0,1990-01-31,,,
South Africa,0.0,1990-01-31,,,
South Africa,1.0,1990-01-31,,,
South Africa,0.0,1990-01-31,,,
South Africa,0.0,1990-01-31,,,
South Africa,0.25,1990-01-31,,,
South Africa,0.0,1990-01-31,,,
South Africa,0.0,1990-01-31,,,
South Africa,3.0,1990-01-31,,,
South Africa,0.0,1990-01-31,,,
South Africa,0.5,1990-01-31,,,
South Africa,0.0,1990-01-31,,,
South Africa,0.0,1990-01-31,,,
South Africa,0.0,1990-01-31,,,
South Africa,0.0,1990-01-31,,,
South Africa,0.0,1990-01-31,,,
China (People's Republic of),0.0,1990-01-31,,,
China (People's Republic of),0.0,1990-01-31,,,
China (People's Republic of),0.0,1990-01-31,,,
China (People's Republic of),0.0,1990-01-31,,,
China (People's Republic of),0.0,1990-01-31,,,
China (People's Republic of),0.0,1990-01-31,,,
China (People's Republic of),0.0,1990-01-31,,,
China (People's Republic of),0.0,1990-01-31,,,
China (People's Republic of),0.0,1990-01-31,,,
China (People's Republic of),0.0,1990-01-31,,,
China (People's Republic of),0.0,1990-01-31,,,
China (People's Republic of),0.0,1990-01-31,,,
China (People's Republic of),0.0,1990-01-31,,,
China (People's Republic of),0.0,1990-01-31,,,
China (People's Republic of),0.0,1990-01-31,,,
China (People's Republic of),0.0,1990-01-31,,,
China (People's Republic of),0.0,1990-01-31,,,
Indonesia,0.0,1990-01-31,,,
Indonesia,0.0,1990-01-31,,,
Indonesia,0.0,1990-01-31,,,
Indonesia,0.0,1990-01-31,,,
Indonesia,0.5,1990-01-31,,,
